company name,gvkey,NAICS,SIC,ticker,industry sector,weburl,ff5 sector
MAXIM INTEGRATED PRODUCTS,14256,334413,3674,MXIM,Chips,maximintegrated.com,3
HERBALIFE LTD,14269,424210,5122,HLF,Whlsl,herbalife.com,1
AMPHENOL CORP,14282,334417,3678,APH,Chips,amphenol.com,3
AKORN INC,14304,325412,2834,AKRX,Drugs,akorn.com,4
INTER PARFUMS INC,14309,325620,2844,IPAR,Hshld,interparfumsinc.com,2
POLARIS INDUSTRIES INC,14311,336999,3790,PII,Autos,polaris.com,2
INTERCEPT PHARMA INC,14320,325414,2836,ICPT,Drugs,interceptpharma.com,4
PIONEER NATURAL RESOURCES CO,14359,211111,1311,PXD,Oil,pxd.com,2
US CELLULAR CORP,14369,517210,4812,USM,Telcm,uscellular.com,3
MANPOWERGROUP,14370,561320,7363,MAN,BusSv,manpowergroup.com,5
INVESTORS TITLE CO,14401,524127,6361,ITIC,Insur,invtitle.com,5
SILVER BAY REALTY TRUST CORP,14402,531110,6798,SBY,Fin,silverbayrealtytrustcorp.com,5
DYNEX CAPITAL INC,14403,525990,6798,DX,Fin,dynexcapital.com,5
SOTHEBY'S,14412,561990,7389,BID,BusSv,sothebys.com,5
MGM RESORTS INTERNATIONAL,14418,721120,7990,MGM,Fun,mgmresorts.com,5
WASTE MANAGEMENT INC,14477,562111,4953,WM,Other,wm.com,5
EW SCRIPPS  -CL A,14535,515120,4833,SSP,Telcm,scripps.com,3
SILVERCREST ASSET MGT,14551,523930,6282,SAMG,Fin,silvercrestgroup.com,5
II-VI INC,14561,333314,3827,IIVI,LabEq,ii-vi.com,3
MERCER INTL INC,14563,322110,2611,MERC,Paper,mercerint.com,2
MGC DIAGNOSTICS CORP,14581,334510,3845,MGCD,MedEq,mgcdiagnostics.com,4
PACIFIC OFFICE PROPERTIES TR,14583,531120,6798,PCFO,Fin,pacificofficeproperties.com,5
FREEPORT-MCMORAN INC,14590,212234,1000,FCX,Mines,fcx.com,5
ALLIANCEBERNSTEIN HOLDING LP,14592,523999,6799,AB,Fin,abglobal.com,5
JUNIPER PHARMACEUTICALS INC,14597,325412,2834,JNP,Drugs,juniperpharma.com,4
AVID BIOSERVICES INC,14603,325413,2835,CDMO,Drugs,avidbio.com,4
OFFICE DEPOT INC,14624,453210,5940,ODP,Rtail,officedepot.com,1
MERITAGE HOMES CORP,14790,236117,1531,MTH,Cnstr,meritagehomes.com,5
ARCH COAL INC,14793,21211,1220,ARCH,Coal,archcoal.com,2
CORE MOLDING TECHNOLOGIES,14794,326199,3089,CMT,Rubbr,coremt.com,2
BERKLEY (W R) CORP,14822,524126,6331,WRB,Insur,wrberkley.com,5
CINCINNATI FINANCIAL CORP,14824,524126,6331,CINF,Insur,cinfin.com,5
OLD REPUBLIC INTL CORP,14828,524126,6331,ORI,Insur,oldrepublic.com,5
JRJR33 INC,14864,454390,5960,JRJR,Rtail,jrjrnetworks.com,1
MGP INGREDIENTS INC,14891,312140,2085,MGPI,Beer,mgpingredients.com,1
3D SYSTEMS CORP,14898,333249,3559,DDD,Mach,3dsystems.com,2
DEVON ENERGY CORP,14934,211111,1311,DVN,Oil,devonenergy.com,2
LINDSAY CORP,14954,333111,3523,LNN,Mach,lindsay.com,2
LABORATORY CP OF AMER HLDGS,14960,621511,8071,LH,Hlth,labcorp.com,4
CHAMPIONS ONCOLOGY INC,14983,325414,2836,CSBR,Drugs,amprservices.com,4
TOR MINERALS INTL INC,15027,325130,2810,TORM,Chems,torminerals.com,2
WORKDAY INC,15044,511210,7372,WDAY,BusSv,workday.com,3
XURA INC,15056,519130,7370,MESG,BusSv,mavenir.com,3
CALLON PETROLEUM CO/DE,15060,211111,1311,CPE,Oil,callon.com,2
LIFEWAY FOODS INC,15087,311511,2020,LWAY,Food,lifewaykefir.com,1
CVR REFINING LP,15093,324110,2911,CVRR,Oil,cvrrefining.com,2
MFA FINANCIAL INC,15101,525990,6798,MFA,Fin,mfafinancial.com,5
TALLGRASS ENERGY PRT LP,15117,486210,4922,TEP,Util,tallgrassenergy.com,2
ISTAR INC,15142,531190,6798,STAR,Fin,istar.com,5
FEDERAL AGRICULTURE MTG CP,15153,522298,6111,AGM,Banks,farmermac.com,5
CHEMICAL FINANCIAL CORP,15197,522110,6020,CHFC,Banks,chemicalbank.com,5
1ST SOURCE CORP,15199,522110,6020,SRCE,Banks,1stsource.com,5
CROSSAMERICA PARTNERS LP,15212,424720,5172,CAPL,Whlsl,crossamericapartners.com,1
OVASCIENCE INC,15215,325414,2836,OVAS,Drugs,ovascience.com,4
ALON USA PARTNERS LP,15235,324110,2911,ALDW,Oil,alonpartners.com,2
VALERO ENERGY CORP,15247,324110,2911,VLO,Oil,valero.com,2
TRIMAS CORP,15252,332119,3460,TRS,FabPr,trimascorp.com,2
IDEX CORP,15267,333911,3561,IEX,Mach,idexcorp.com,2
HARVEST NATURAL RESOURCES,15291,211111,1311,HNR,Oil,harvestnr.com,2
EMMIS COMMUNICATIONS CP-CL A,15337,515112,4832,EMMS,Telcm,emmis.com,3
MUELLER INDUSTRIES,15343,331420,3350,MLI,Steel,muellerindustries.com,2
TCF FINANCIAL CORP,15363,522110,6020,TCF,Banks,tcfbank.com,5
ARGO GROUP INTL HOLDINGS LTD,15364,524126,6331,AGII,Insur,argolimited.com,5
SUNCOKE ENERGY PARTNERS LP,15396,324199,3312,SXCP,Steel,suncoke.com,2
BIO-TECHNE CORP,15414,325414,2836,TECH,Drugs,bio-techne.com,4
BROWN & BROWN INC,15417,524210,6411,BRO,Insur,bbinsurance.com,5
AMBARELLA INC,15420,334413,3674,AMBA,Chips,ambarella.com,3
TREDEGAR CORP,15459,326113,3081,TG,Rubbr,tredegar.com,2
SIGNET JEWELERS LTD,15520,448310,5944,SIG,Rtail,signetjewelers.com,1
STAPLES INC,15521,424120,5110,SPLS,Whlsl,staples.com,1
PARATEK PHARMACEUTCLS INC,15539,325412,2834,PRTK,Drugs,paratekpharma.com,4
SYMANTEC CORP,15855,511210,7372,SYMC,BusSv,symantec.com,3
SPORTSMANS WAREHOUSE HLDGS,16009,451110,5940,SPWH,Rtail,sportsmanswarehouse.com,1
QUEST RESOURCE HOLDING CORP,16015,562,4950,QRHC,Other,qrhc.com,5
MONROE CAPITAL CORP,16066,523910,6797,MRCC,,monroebdc.com,5
ABBVIE INC,16101,325414,2836,ABBV,Drugs,abbvie.com,4
ARTISAN PARTNERS ASSET MGMT,16113,523920,6282,APAM,Fin,artisanpartners.com,5
CYRUSONE INC,16116,531120,6798,CONE,Fin,cyrusone.com,5
OFS CAPITAL CORP,16149,523910,6797,OFS,,ofscapital.com,5
STELLUS CAPITAL INVESTMENT,16150,523999,6797,SCM,,stelluscapital.com,5
COGNEX CORP,16188,334513,3823,CGNX,LabEq,cognex.com,3
WESTERN GAS EQUITY PRTNRS LP,16225,486210,4922,WGP,Util,westerngas.com,2
PEOPLE'S UNITED FINL INC,16245,522110,6020,PBCT,Banks,peoples.com,5
ENANTA PHARMACEUTICALS INC,16269,325414,2836,ENTA,Drugs,enanta.com,4
VOYA FINANCIAL INC,16384,524113,6311,VOYA,Insur,voya.com,5
CIRRUS LOGIC INC,16401,334413,3674,CRUS,Chips,cirrus.com,3
NEOGEN CORP,16453,325412,2834,NEOG,Drugs,neogen.com,4
LEAR CORP,16477,336360,2531,LEA,Paper,lear.com,2
EOG RESOURCES INC,16478,211111,1311,EOG,Oil,eogresources.com,2
BOISE CASCADE CO,16486,423310,5031,BCC,Whlsl,bc.com,1
ZIX CORP,16531,518210,7370,ZIXI,BusSv,zixcorp.com,3
SERVISFIRST BANCSHARES INC,16549,522110,6020,SFBS,Banks,servisfirstbank.com,5
LATTICE SEMICONDUCTOR CORP,16597,334413,3674,LSCC,Chips,latticesemi.com,3
WHITEHORSE FINANCE INC,16608,523910,6797,WHF,,whitehorsefinance.com,5
AMERICA FIRST MULTIFAMILY-LP,16641,523999,6799,ATAX,Fin,ataxfund.com,5
TAYLOR MORRISON HOME CORP,16653,236,1531,TMHC,Cnstr,taylormorrison.com,5
ARROW FINANCIAL CORP,16668,522110,6020,AROW,Banks,arrowfinancial.com,5
ATLANTIC AMERICAN CORP,16671,524114,6321,AAME,Insur,atlam.com,5
NORTHEAST BANCORP/ME,16689,522110,6020,NBN,Banks,northeastbank.com,5
BRYN MAWR BANK CORP,16698,522110,6020,BMTC,Banks,bmtc.com,5
CENTRAL PACIFIC FINANCIAL CP,16705,522110,6020,CPF,Banks,centralpacificbank.com,5
DIGI INTERNATIONAL INC,16710,334210,3576,DGII,Comps,digi.com,3
DONEGAL GROUP INC,16714,524126,6331,DGICA,Insur,donegalgroup.com,5
EMC INSURANCE GROUP INC,16716,524126,6331,EMCI,Insur,emcins.com,5
BIOSTAGE INC,16719,339112,3841,BSTG,MedEq,biostage.com,4
ALTISOURCE ASSET MGMT CORP,16720,531311,6500,AAMC,RlEst,altisourceamc.com,5
ELECTRONIC ARTS INC,16721,511210,7372,EA,BusSv,ea.com,3
HOUGHTON MIFFLIN HARCOURT CO,16738,511130,2731,HMHC,Books,hmhco.com,1
PROTHENA CORP PLC,16745,325414,2836,PRTA,Drugs,prothena.com,4
CENTURY BANCORP INC/MA,16748,522110,6020,CNBKA,Banks,centurybank.com,5
CITIZENS INC,16775,524113,6311,CIA,Insur,citizensinc.com,5
FIRST BANCORP/NC,16777,522110,6020,FBNC,Banks,localfirstbank.com,5
CITY HOLDING CO,16781,522110,6020,CHCO,Banks,cityholding.com,5
COMMUNITY BANK SYSTEM INC,16790,522110,6020,CBU,Banks,communitybankna.com,5
FIRST BANCORP P R,16821,522110,6020,FBP,Banks,1firstbank.com,5
GLACIER BANCORP INC,16832,522110,6020,GBCI,Banks,glacierbancorp.com,5
FIRST MERCHANTS CORP,16845,522110,6020,FRME,Banks,firstmerchants.com,5
RETROPHIN INC,16848,325414,2836,RTRX,Drugs,retrophin.com,4
REAL INDUSTRY INC,16878,331314,3341,RELYQ,Steel,realindustryinc.com,2
FIVE OAKS INVESTMENT CORP,16884,525990,6798,OAKS,Fin,fiveoaksinvestment.com,5
HEALTH INSURANCE INNOVATIONS,16886,524210,6411,HIIQ,Insur,hiiquote.com,5
INDEPENDENT BANK CORP/MA,16889,522110,6020,INDB,Banks,rocklandtrust.com,5
INDEPENDENT BANK CORP/MI,16890,522110,6020,IBCP,Banks,independentbank.com,5
MERCHANTS BANCSHARES INC/VT,16929,522110,6020,MBVT,Banks,mbvt.com,5
ACTINIUM PHARMACEUTICALS INC,16947,325414,2836,ATNM,Drugs,actiniumpharma.com,4
OFG BANCORP,16981,522110,6020,OFG,Banks,ofgbancorp.com,5
PEOPLES BANCORP NC INC,16989,522110,6020,PEBK,Banks,peoplesbanknc.com,5
LIBERTY MEDIA SIRIUSXM GROUP,17010,515112,4832,LSXMK,Telcm,libertymedia.com,3
EXONE CO,17012,3332,3550,XONE,Mach,exone.com,2
MERCURY GENERAL CORP,17035,524126,6331,MCY,Insur,mercuryinsurance.com,5
NATIONAL SEC GROUP INC,17072,524126,6331,NSEC,Insur,nationalsecuritygroup.com,5
NATIONAL WESTERN LIFE GROUP,17073,524113,6311,NWLI,Insur,nationalwesternlife.com,5
NAVIGATORS GROUP INC,17074,524126,6331,NAVG,Insur,navg.com,5
OLD NATIONAL BANCORP,17095,522110,6020,ONB,Banks,oldnational.com,5
IMMUNOGEN INC,17101,325414,2836,IMGN,Drugs,immunogen.com,4
PEOPLES BANCORP INC/OH,17106,522110,6020,PEBO,Banks,peoplesbancorp.com,5
SELECTIVE INS GROUP INC,17115,524126,6331,SIGI,Insur,selective.com,5
SVB FINANCIAL GROUP,17120,522110,6020,SIVB,Banks,svb.com,5
INDEPENDENCE HOLDING CO,17131,524114,6321,IHC,Insur,ihcgroup.com,5
WSFS FINANCIAL CORP,17132,522120,6035,WSFS,Banks,wsfsbank.com,5
WASHINGTON FEDERAL INC,17145,522110,6020,WAFD,Banks,washingtonfederal.com,5
WEBSTER FINANCIAL CORP,17150,522110,6020,WBS,Banks,websteronline.com,5
WESBANCO INC,17151,522110,6020,WSBC,Banks,wesbanco.com,5
ROYAL BANCSHARES/PA  -CL A,17168,522110,6020,RBPAA,Banks,royalbankamerica.com,5
SECURITY NATL FINL CP  -CL A,17180,522292,6162,SNFCA,Banks,securitynational.com,5
SEACOAST BANKING CORP/FL,17184,522110,6020,SBCF,Banks,seacoastbanking.com,5
22ND CENTURY GROUP INC,17185,325414,2836,XXII,Drugs,xxiicentury.com,4
FIRST FINL BANCORP INC/OH,17195,522110,6020,FFBC,Banks,bankatfirst.com,5
BIOLIFE SOLUTIONS INC,17199,334510,3845,BLFS,MedEq,biolifesolutions.com,4
KINDRED HEALTHCARE INC,17239,623110,8051,KND,Hlth,kindredhealthcare.com,4
TOMPKINS FINANCIAL CORP,17240,522110,6020,TMP,Banks,tompkinsfinancial.com,5
TRUSTCO BANK CORP/NY,17245,522120,6035,TRST,Banks,trustcobank.com,5
UNITED BANKSHARES INC/WV,17248,522110,6020,UBSI,Banks,ubsi-inc.com,5
UNITED FIRE GROUP INC,17252,524126,6331,UFCS,Insur,ufginsurance.com,5
UNIVERSAL AMERICAN CORP,17266,524114,6321,UAM,Insur,universalamerican.com,5
AMERISERV FINANCIAL INC/PA,17269,522110,6020,ASRV,Banks,ameriserv.com,5
NV5 GLOBAL INC,17277,541330,8711,NVEE,BusSv,nv5.com,5
PENNYMAC FINANCIAL SERVICES,17306,522292,6162,PFSI,Banks,pennymacfinancial.com,5
TETRAPHASE PHARMACEUTICALS,17350,325414,2836,TTPH,Drugs,tphase.com,4
AMERICAN NATL BANKSHARES,17367,522110,6020,AMNB,Banks,amnb.com,5
MARIN SOFTWARE INC,17376,519130,7370,MRIN,BusSv,marinsoftware.com,3
PINGTAN MARINE ENTERPRISE,17422,311710,2090,PME,Food,ptmarine.com,1
DARIOHEALTH CORP,17485,325413,2835,DRIO,Drugs,mydario.com,4
CHIMERIX INC,17498,325414,2836,CMRX,Drugs,chimerix.com,4
TRUETT-HURST INC,17501,312130,2084,THST,Beer,truetthurstinc.com,1
BLACKHAWK NETWORK HLDGS INC,17550,518210,7374,HAWK,BusSv,blackhawknetwork.com,3
MODEL N INC,17553,511210,7372,MODN,BusSv,modeln.com,3
ARATANA THERAPEUTICS,17567,325414,2836,PETX,Drugs,aratana.com,4
FRANKLIN FINL NETWORK INC,17586,522110,6020,FSB,Banks,franklinsynergybank.com,5
RELIANT BANCORP INC,17594,522110,6020,RBNC,Banks,reliantbank.com,5
ARMADA HOFFLER PROPERTIES,17626,531120,6798,AHH,Fin,armadahoffler.com,5
EMERGE ENERGY SERVICES LP,17628,212322,1400,EMES,Mines,emergelp.com,5
AMERICAN HOMES 4 RENT,17639,531110,6798,AMH,Fin,americanhomes4rent.com,5
BANK SOUTH CAROLINA CORP,17641,522110,6020,BKSC,Banks,banksc.com,5
ADMA BIOLOGICS INC,17653,325414,2836,ADMA,Drugs,admabiologics.com,4
HEMISPHERE MEDIA GROUP INC,17687,515120,4833,HMTV,Telcm,hemispheretv.com,3
UCP INC,17689,236117,1531,UCP,Cnstr,unioncommunityllc.com,5
TABLEAU SOFTWARE INC,17695,511210,7372,DATA,BusSv,tableau.com,3
TRISTATE CAPITAL HLDGS INC,17696,522110,6020,TSC,Banks,tristatecapitalbank.com,5
CST BRANDS INC,17699,447110,5500,CST,Rtail,cstbrands.com,1
WESTBURY BANCORP INC,17707,522120,6035,WBBW,Banks,westburybankwi.com,5
CODORUS VALLEY BANCORP,17715,522110,6020,CVLY,Banks,peoplesbanknet.com,5
CONNECTONE BANCORP INC,17724,522110,6020,CNOB,Banks,connectonebank.com,5
HANNON ARMSTRONG SUST INFR,17769,525990,6798,HASI,Fin,hannonarmstrong.com,5
EPIZYME INC,17808,325414,2836,EPZM,Drugs,epizyme.com,4
CHANNELADVISOR CORP,17811,519130,7370,ECOM,BusSv,channeladvisor.com,3
HD SUPPLY HOLDINGS INC,17812,42,5000,HDS,Whlsl,hdsupply.com,1
BAY BANCORP INC,17815,522120,6035,BYBK,Banks,baybankmd.com,5
ELLINGTON RESIDENTIAL MTG,17866,525990,6798,EARN,Fin,earnreit.com,5
T-MOBILE US INC,17874,517210,4812,TMUS,Telcm,t-mobile.com,3
NICOLET BANKSHARES INC,17875,522110,6020,NCBS,Banks,nicoletbank.com,5
CHEMUNG FINANCIAL CORP,17877,522110,6020,CHMG,Banks,chemungcanal.com,5
NEW RESIDENTIAL INV CP,17878,525990,6798,NRZ,Fin,newresi.com,5
IKONICS CORP,17890,325613,2840,IKNX,Hshld,ikonics.com,2
HARVEST CAPITAL CREDIT CORP,17896,523999,6797,HCAP,,harvestcapitalcredit.com,5
HEAT BIOLOGICS INC,17910,325414,2836,HTBX,Drugs,heatbio.com,4
STARWOOD WAYPOINT HOMES,17912,531110,6798,SFR,Fin,intouchcalls.com,5
PORTOLA PHARMACEUTICALS INC,17931,325414,2836,PTLA,Drugs,portola.com,4
PHILLIPS 66 PARTNERS LP,17933,486110,4610,PSXP,Trans,phillips66partners.com,5
SPROUTS FARMERS MARKET,17934,445110,5411,SFM,Rtail,sprouts.com,1
FRANK'S INTL NV,17956,213112,1389,FI,Oil,franksinternational.com,2
BLUEBIRD BIO INC,17998,325414,2836,BLUE,Drugs,bluebirdbio.com,4
PLY GEM HOLDINGS INC,18003,321911,2430,PGEM,BldMt,plygem.com,5
CENTURY COMMUNITIES INC,18004,236117,1531,CCS,Cnstr,centurycommunities.com,5
NANOSTRING TECHNOLOGIES INC,18009,325413,2835,NSTG,Drugs,nanostring.com,4
COMMSCOPE HOLDING CO INC,18036,334220,3663,COMM,Chips,commscope.com,3
CITIZENS & NORTHERN CORP,18037,522110,6020,CZNC,Banks,cnbankpa.com,5
REPUBLIC FIRST BANCORP INC,18040,522110,6020,FRBK,Banks,myrepublicbank.com,5
NEWS CORP,18043,511110,2711,NWSA,Books,newscorp.com,1
NOODLES & CO,18047,722513,5812,NDLS,Meals,noodles.com,1
F N B CORP/FL,18049,522110,6020,FNB,Banks,fnb-online.com,5
TELARIA INC,18066,541810,7311,TLRA,BusSv,telaria.com,5
REXFORD INDUS REALTY,18071,531120,6798,REXR,Fin,rexfordindustrial.com,5
CHERRY HILL MTG INVST,18073,525990,6798,CHMI,Fin,chmireit.com,5
MALLINCKRODT PLC,18086,325412,2834,MNK,Drugs,mallinckrodt.com,4
FINJAN HOLDINGS INC,18108,511210,7372,FNJN,BusSv,finjan.com,3
JONES ENERGY INC,18109,211111,1311,JONE,Oil,jonesenergy.com,2
FARMERS CAPITAL BANK CORP,18110,522110,6020,FFKT,Banks,farmerscapital.com,5
TECOGEN INC,18114,335312,3621,TGEN,ElcEq,tecogen.com,2
PHYSICIANS REALTY TR,18145,531120,6798,DOC,Fin,docreit.com,5
AGIOS PHARMACEUTICALS,18159,325414,2836,AGIO,Drugs,agios.com,4
CONATUS PHARMACEUTICALS INC,18161,325414,2836,CNAT,Drugs,conatuspharma.com,4
ESPERION THERAPEUTICS INC,18162,325414,2836,ESPR,Drugs,esperion.com,4
NEW HOME COMPANY INC,18171,236117,1531,NWHM,Cnstr,nwhm.com,5
ONCONOVA THERAPEUTICS INC,18172,325414,2836,ONTX,Drugs,onconova.com,4
EVOKE PHARMA INC,18173,325412,2834,EVOK,Drugs,evokepharma.com,4
RETAILMENOT INC,18177,519130,7370,SALE,BusSv,retailmenot.com,3
WORLD POINT TERMINALS LP,18179,424710,5171,WPT,Whlsl,worldpointlp.com,1
NATIONAL GENERAL HOLDINGS CP,18184,524126,6331,NGHC,Insur,nationalgeneral.com,5
ANI PHARMACEUTICALS INC,18204,325412,2834,ANIP,Drugs,anipharmaceuticals.com,4
SAEXPLORATION HOLDINGS INC,18235,541360,1382,SAEX,Oil,saexploration.com,2
FIRST COMMONWLTH FINL CP/PA,18241,522110,6020,FCF,Banks,fcbanking.com,5
KCG HOLDINGS INC,18246,523120,6211,KCG,Fin,kcg.com,5
OWENS REALTY MORTGAGE INC,18261,525990,6798,ORM,Fin,owensmortgage.com,5
MARRONE BIO INNOVTIONS,18270,3253,2870,MBII,Chems,marronebioinnovations.com,2
YUME INC,18271,541850,7310,YUME,BusSv,yume.com,5
FIRST FINANCIAL CORP/IN,18276,522110,6020,THFF,Banks,first-online.com,5
STONEGATE MORTGAGE CORP,18287,522292,6162,SGM,Banks,stonegatemtg.com,5
CONTROL4 CORP,18291,334519,3829,CTRL,LabEq,control4.com,3
SANTANDER CONSUMER USA HLDGS,18306,522291,6141,SC,Banks,santanderconsumerusa.com,5
FIRST LONG ISLAND CORP,18307,522110,6020,FLIC,Banks,fnbli.com,5
US FOODS HOLDING CORP,18312,4244,5140,USFD,Whlsl,usfoods.com,1
INTREXON CORP,18315,325414,2836,XON,Drugs,dna.com,4
FOX FACTORY HOLDING CP,18320,336991,3751,FOXF,Hshld,ridefox.com,1
CINER RESOURCES LP,18321,212391,1400,CINR,Mines,ciner.us.com,5
OAKTREE STRATEGIC INCOME CP,18323,523910,6797,OCSI,,fifthstreetfinance.com,5
FIRST BUSEY CORP,18329,522110,6020,BUSE,Banks,busey.com,5
CLUBCORP HOLDINGS INC,18339,713910,7997,MYCC,Fun,clubcorp.com,5
OCERA THERAPEUTICS INC,18350,325414,2836,OCRX,Drugs,ocerainc.com,4
BRIXMOR PROPERTY GROUP INC,18383,531120,6798,BRX,Fin,brixmor.com,5
STRAIGHT PATH COMMUNICATIONS,18386,517210,4812,STRP,Telcm,spathinc.com,3
CAROLINA FINANCIAL CORP,18392,522110,6020,CARO,Banks,haveanicebank.com,5
LIPOCINE INC,18424,325412,2834,LPCN,Drugs,lipocine.com,4
FIVE PRIME THERAPEUTICS INC,18430,325414,2836,FPRX,Drugs,fiveprime.com,4
WESTERN REFINING LGS LP,18431,424720,5172,WNRL,Whlsl,wnrl.com,1
ANTERO RESOURCES CORP,18465,211111,1311,AR,Oil,anteroresources.com,2
PLAINS GP HOLDINGS LP,18468,424710,5171,PAGP,Whlsl,plainsallamerican.com,1
FOUNDATION MEDICINE INC,18469,325414,2836,FMI,Drugs,foundationmedicine.com,4
JASON INDUSTRIES INC,18479,336360,3530,JASN,Mach,jasoninc.com,2
FIREEYE INC,18487,541512,7373,FEYE,Comps,fireeye.com,3
NXT-ID INC,18490,541512,7373,NXTD,Comps,nxt-id.com,3
MURPHY USA INC,18498,447110,5500,MUSA,Rtail,murphyusa.com,1
IDEAL POWER INC,18509,335999,3620,IPWR,ElcEq,idealpower.com,2
ACCELERON PHARMA INC,18510,325414,2836,XLRN,Drugs,acceleronpharma.com,4
HORIZON BANCORP/IN,18533,522110,6020,HBNC,Banks,horizonbank.com,5
CLEARONE INC,18549,334220,3663,CLRO,Chips,clearone.com,3
CHEGG INC,18556,519130,7370,CHGG,BusSv,chegg.com,3
BENEFITFOCUS INC,18561,519130,7370,BNFT,BusSv,benefitfocus.com,3
FATE THERAPEUTICS INC,18562,325414,2836,FATE,Drugs,fatetherapeutics.com,4
APPLIED OPTOELECTRONICS INC,18564,334413,3674,AAOI,Chips,ao-inc.com,3
IMMUNE PHARMACEUTICALS INC,18566,325414,2836,IMNP,Drugs,immunepharma.com,4
COVISINT CORP,18571,519130,7370,COVS,BusSv,covisint.com,3
OPHTHOTECH CORP,18572,325414,2836,OPHT,Drugs,ophthotech.com,4
QTS REALTY TRUST INC,18573,531120,6798,QTS,Fin,qtsdatacenters.com,5
RE/MAX HOLDINGS INC,18578,531210,6531,RMAX,RlEst,remax.com,5
ROCKET FUEL INC,18584,519130,7370,FUEL,BusSv,rocketfuel.com,3
PREMIER INC,18624,424210,5122,PINC,Whlsl,premierinc.com,1
LGI HOMES INC,18629,236117,1531,LGIH,Cnstr,lgihomes.com,5
RINGCENTRAL INC,18630,511210,7372,RNG,BusSv,ringcentral.com,3
FIDELITY & GUARANTY LIFE,18635,524113,6311,FGL,Insur,fglife.com,5
HARDINGE INC,18654,333517,3541,HDNG,Mach,hardinge.com,2
MACROGENICS INC,18658,325414,2836,MGNX,Drugs,macrogenics.com,4
EP ENERGY CORP,18660,211111,1311,EPE,Oil,epenergy.com,2
TRANSENTERIX INC,18666,339112,3841,TRXC,MedEq,transenterix.com,4
BURLINGTON STORES INC,18675,4481,5600,BURL,Rtail,burlingtoncoatfactory.com,1
PATTERN ENERGY GROUP INC,18677,221115,4991,PEGI,Other,patternenergy.com,5
SCIENCE APPLICATIONS INTL CP,18683,541512,7373,SAIC,Comps,saic.com,3
VEEVA SYSTEMS INC,18689,519130,7370,VEEV,BusSv,veeva.com,3
CB FINANCIAL SERVICES INC,18695,522110,6020,CBFV,Banks,communitybank.tv,5
PTC INC,18699,511210,7372,PTC,BusSv,ptc.com,3
LAKELAND FINANCIAL CORP,18732,522110,6020,LKFN,Banks,lakecitybank.com,5
SPHERIX INC,18738,533110,6794,SPEX,Fin,spherix.com,5
ESSENT GROUP LTD,18745,524126,6351,ESNT,Insur,essentgroup.com,5
AERIE PHARMACEUTICALS INC,18749,325414,2836,AERI,Drugs,aeriepharma.com,4
CRITEO SA,18750,541810,7311,CRTO,BusSv,criteo.com,5
CAPITALA FINANCE CORP,18779,523999,6797,CPTA,,capitalagroup.com,5
GAMING & LEISURE PPTYS,18792,531120,6798,GLPI,Fin,glpropinc.com,5
BARRACUDA NETWORKS INC,18838,519130,7370,CUDA,BusSv,barracuda.com,3
POTBELLY CORP,18839,722513,5812,PBPB,Meals,potbelly.com,1
SURGICAL CARE AFFILIATES INC,18841,621498,8090,SCAI,Hlth,scasurgery.com,4
CONTAINER STORE GROUP,18842,442299,5700,TCS,Rtail,containerstore.com,1
EMPIRE STATE REALTY OP LP,18850,531120,6798,ESBA,Fin,empirestaterealtytrust.com,5
ARC LOGISTICS PARTNERS LP,18866,424710,5171,ARCX,Whlsl,arcterminals.com,1
OCI PARTNERS LP,18868,325199,2860,OCIP,Chems,ocipartnerslp.com,2
TWITTER INC,18872,519130,7370,TWTR,BusSv,twitter.com,3
GLYCOMIMETICS INC,18878,325414,2836,GLYC,Drugs,glycomimetics.com,4
TANDEM DIABETES CARE INC,18899,334510,3845,TNDM,MedEq,tandemdiabetes.com,4
TREVENA INC,18925,325414,2836,TRVN,Drugs,trevena.com,4
KARYOPHARM THERAPEUTICS INC,18930,325412,2834,KPTI,Drugs,karyopharm.com,4
VITAL THERAPIES INC,18936,325414,2836,VTL,Drugs,vitaltherapies.com,4
XENCOR INC,18938,325414,2836,XNCR,Drugs,xencor.com,4
VERACYTE INC,18947,325413,2835,VCYT,Drugs,veracyte.com,4
NIMBLE STORAGE INC,18975,334112,3572,NMBL,Comps,hpe.com,3
THE ONE GROUP HOSPITALITY,18978,722511,5812,STKS,Meals,togrp.com,1
EGALET CORP,18982,325412,2834,EGLT,Drugs,egalet.com,4
OXFORD IMMUNOTEC GLOBAL PLC,18983,325413,2835,OXFD,Drugs,oxfordimmunotec.com,4
MARCUS & MILLICHAP INC,19000,531210,6531,MMI,RlEst,marcusmillichap.com,5
RECRO PHARMA INC,19025,325412,2834,REPH,Drugs,recropharma.com,4
VARONIS SYSTEMS INC,19044,511210,7372,VRNS,BusSv,varonis.com,3
MBT FINANCIAL CORP,19057,522120,6036,MBTF,Banks,mbandt.com,5
CAMPING WORLD HOLDINGS INC,19071,441210,5500,CWH,Rtail,cadoremiller.com,1
N B T BANCORP INC,19094,522110,6020,NBTB,Banks,nbtbancorp.com,5
MIDCOAST ENERGY PARTNERS LP,19104,486210,4922,MEP,Util,midcoastpartners.com,2
IGNYTA INC,19116,325414,2836,RXDX,Drugs,ignyta.com,4
BIOCEPT INC,19117,325413,2835,BIOC,Drugs,biocept.com,4
HALLADOR ENERGY CO,19129,212112,1220,HNRG,Coal,halladorenergy.com,2
