company name,gvkey,NAICS,SIC,ticker,industry sector,weburl,ff5 sector
BECTON DICKINSON & CO,2111,339112,3841,BDX,MedEq,bd.com,4
BEL FUSE INC,2124,334416,3677,BELFB,Chips,belfuse.com,3
VERIZON COMMUNICATIONS INC,2136,517210,4812,VZ,Telcm,verizon.com,3
BEMIS CO INC,2154,322220,2670,BMS,Paper,bemis.com,2
BERKSHIRE HATHAWAY,2176,999977,9997,BRK.B,Other,berkshirehathaway.com,5
BEST BUY CO INC,2184,443142,5731,BBY,Rtail,bestbuy.com,1
BIO-RAD LABORATORIES INC,2220,334516,3826,BIO,LabEq,bio-rad.com,3
BLACK HILLS CORP,2259,2211,4911,BKH,Util,blackhillscorp.com,2
BLOCK H & R INC,2269,541213,7200,HRB,PerSv,hrblock.com,1
ENSCO PLC,2270,213111,1381,ESV,Oil,enscoplc.com,2
BOB EVANS FARMS,2282,311612,2013,BOBE,Food,bobevans.com,1
BOEING CO,2285,336411,3721,BA,Aero,boeing.com,2
ROBERT HALF INTL INC,2312,561320,7363,RHI,BusSv,roberthalf.com,5
RESOLUTE FOREST PRODUCTS INC,2337,322121,2621,RFP,Paper,resolutefp.com,2
BOWL AMERICA INC  -CL A,2342,713950,7900,BWL.A,Fun,bowl-america.com,5
BRADY CORP,2352,339950,3990,BRC,,bradycorp.com,1
BRIDGFORD FOODS CORP,2390,311612,2013,BRID,Food,bridgford.com,1
BRIGGS & STRATTON,2393,333618,3510,BGG,Mach,basco.com,2
BRISTOL-MYERS SQUIBB CO,2403,325412,2834,BMY,Drugs,bms.com,4
BROWN FORMAN CORP,2435,312140,2085,BF.B,Beer,brown-forman.com,1
CALERES INC,2436,316210,3140,CAL,Clths,caleres.com,1
BRUNSWICK CORP,2444,333618,3510,BC,Mach,brunswick.com,2
MATERION CORP,2448,331410,3330,MTRN,Steel,materion.com,2
MASTEC INC,2497,237130,1623,MTZ,Cnstr,mastec.com,5
UNISYS CORP,2504,541512,7373,UIS,Comps,unisys.com,3
ACXIOM CORP,2536,518210,7374,ACXM,BusSv,acxiom.com,3
CDI CORP,2538,5613,7363,CDI,BusSv,cdicorp.com,5
CIGNA CORP,2547,524114,6324,CI,Insur,cigna.com,5
CSS INDUSTRIES INC,2556,322220,2670,CSS,Paper,cssindustries.com,2
CNA FINANCIAL CORP,2558,524126,6331,CNA,Insur,cna.com,5
CSP INC,2573,541512,7373,CSPI,Comps,cspi.com,3
CSX CORP,2574,482111,4011,CSX,Trans,csx.com,5
CTS CORP,2577,33441,3670,CTS,Chips,ctscorp.com,3
CVD EQUIPMENT CORP,2581,333249,3559,CVV,Mach,cvdequipment.com,2
CABOT CORP,2593,325180,2890,CBT,Chems,cabotcorp.com,2
CACI INTL INC  -CL A,2596,541512,7373,CACI,Comps,caci.com,3
CALAMP CORP,2615,334220,3663,CAMP,Chips,calamp.com,3
CALIFORNIA WATER SERVICE GP,2628,221310,4941,CWT,Util,calwatergroup.com,2
CAMPBELL SOUP CO,2663,311422,2030,CPB,Food,campbellsoupcompany.com,1
CONSTELLATION BRANDS,2710,312120,2082,STZ,Beer,cbrands.com,1
CARLISLE COS INC,2771,324122,2950,CSL,BldMt,carlisle.com,2
PROGRESS ENERGY INC,2783,2211,4911,DUK8,Util,progress-energy.com,2
CARPENTER TECHNOLOGY CORP,2787,331110,3312,CRS,Steel,cartech.com,2
CASEYS GENERAL STORES INC,2807,447110,5412,CASY,Rtail,caseys.com,1
CASTLE (A M) & CO,2811,423510,5051,CTAM,Whlsl,castlemetals.com,1
CATERPILLAR INC,2817,333120,3531,CAT,Mach,caterpillar.com,2
CATO CORP  -CL A,2818,448120,5621,CATO,Rtail,catofashions.com,1
CAVCO INDUSTRIES INC,2820,321992,2452,CVCO,BldMt,cavco.com,5
R F INDUSTRIES LTD,2829,334417,3678,RFIL,Chips,rfindustries.com,3
CENTURYLINK INC,2884,517110,4813,CTL,Telcm,centurylink.com,3
MAGELLAN HEALTH INC,2940,561110,8741,MGLN,BusSv,magellanhealth.com,5
CANTEL MEDICAL CORP,2942,334510,3845,CMD,MedEq,cantelmedical.com,4
CHEMED CORP,2960,621610,8082,CHE,Hlth,chemed.com,4
JPMORGAN CHASE & CO,2968,522110,6020,JPM,Banks,jpmorganchase.com,5
CHESAPEAKE UTILITIES CORP,2986,221210,4923,CPK,Util,chpk.com,2
CELSION CORP,2990,325414,2836,CLSN,Drugs,celsion.com,4
CHEVRON CORP,2991,324110,2911,CVX,Oil,chevron.com,2
CHICAGO RIVET & MACHINE CO,2999,332722,3452,CVR,BldMt,chicagorivet.com,2
BRINKER INTL INC,3007,722511,5812,EAT,Meals,brinker.com,1
CHURCH & DWIGHT INC,3026,325611,2840,CHD,Hshld,churchdwight.com,2
CHURCHILL DOWNS INC,3028,713210,7990,CHDN,Fun,churchilldownsincorporated.com,5
CINCINNATI BELL INC,3036,517110,4813,CBB,Telcm,cincinnatibell.com,3
CINTAS CORP,3062,315220,2320,CTAS,Clths,cintas.com,1
CLARCOR INC,3093,333413,3564,CLC,Mach,clarcor.com,2
CLOROX CO/DE,3121,325612,2842,CLX,Hshld,thecloroxcompany.com,2
COCA-COLA BTLNG CONS,3138,312111,2086,COKE,Soda,cokeconsolidated.com,1
COCA-COLA CO,3144,312111,2086,KO,Soda,coca-colacompany.com,1
COEUR MINING INC,3153,212222,1044,CDE,Gold,coeur.com,5
COHERENT INC,3157,334516,3826,COHR,LabEq,coherent.com,3
COHU INC,3158,334515,3825,COHU,LabEq,cohu.com,3
ONCOMED PHARMACEUTICALS,3169,325414,2836,OMED,Drugs,oncomed.com,4
COLGATE-PALMOLIVE CO,3170,325611,2844,CL,Hshld,colgate.com,2
CHASE CORP,3203,325520,2891,CCF,Chems,chasecorp.com,2
AON PLC,3221,524210,6411,AON,Insur,aon.com,5
COMCAST CORP,3226,515210,4841,CMCSA,Telcm,comcast.com,3
COMERICA INC,3231,522110,6020,CMA,Banks,comerica.com,5
COMMERCE BANCSHARES INC,3238,522110,6020,CBSH,Banks,commercebank.com,5
CITIGROUP INC,3243,522110,6199,C,Banks,citigroup.com,5
COMMERCIAL METALS,3246,331110,3312,CMC,Steel,cmc.com,2
COMMUNICATIONS SYSTEMS INC,3275,334210,3661,JCS,Chips,commsystems.com,3
AVIS BUDGET GROUP INC,3278,532111,7510,CAR,BusSv,avisbudgetgroup.com,5
CA INC,3310,511210,7372,CA,BusSv,ca.com,3
COMPUTER TASK GROUP INC,3342,541519,7370,CTG,BusSv,ctg.com,3
COMTECH TELECOMMUN,3358,334220,3663,CMTL,Chips,comtechtel.com,3
CONAGRA BRANDS INC,3362,31142,2000,CAG,Food,conagrabrands.com,1
RAVE RESTAURANT GROUP INC,3369,424490,5140,RAVE,Meals,pizzainn.com,1
SHUTTERSTOCK INC,3382,519130,7370,SSTK,BusSv,shutterstock.com,3
CONNECTICUT WATER SVC INC,3394,221310,4941,CTWS,Util,ctwater.com,2
TRANSCONTINENTAL RLTY INVS,3410,531110,6513,TCI,RlEst,transconrealty-invest.com,5
CONSOLIDATED EDISON INC,3413,22111,4931,ED,Util,conedison.com,2
BIGLARI HOLDINGS INC,3424,722511,5812,BH,Meals,biglariholdings.com,1
CONSOLIDATED TOMOKA LAND CO,3429,5311,6510,CTO,RlEst,ctlc.com,5
CMS ENERGY CORP,3439,22111,4931,CMS,Util,cmsenergy.com,2
CONTINENTAL RESOURCES INC,3469,211111,1311,CLR,Oil,clr.com,2
COOPER TIRE & RUBBER CO,3502,326211,3011,CTB,Autos,coopertire.com,2
COOPER COMPANIES INC,3504,339115,3851,COO,MedEq,coopercos.com,4
MOLSON COORS BREWING CO,3505,312120,2082,TAP,Beer,molsoncoors.com,1
CORNING INC,3532,334419,3679,GLW,Chips,corning.com,3
CRACKER BARREL OLD CTRY STOR,3570,722511,5812,CBRL,Meals,crackerbarrel.com,1
CRANE CO,3580,332912,3490,CR,BldMt,craneco.com,2
CRAWFORD & CO,3581,524291,6411,CRD.A,Insur,crawfordandcompany.com,5
ONEMAIN HOLDINGS INC,3592,522291,6141,OMF,Banks,onemainfinancial.com,5
CHEMTURA CORP,3607,325212,2820,CHMT,Chems,chemtura.com,2
CROWN HOLDINGS INC,3619,332431,3411,CCK,Boxes,crowncork.com,2
CUBIC CORP,3639,333318,3578,CUB,Comps,cubic.com,3
CULLEN/FROST BANKERS INC,3643,522110,6020,CFR,Banks,frostbank.com,5
CULP INC,3647,313210,2211,CULP,Txtls,culp.com,1
CUMMINS INC,3650,333618,3510,CMI,Mach,cummins.com,2
CURTISS-WRIGHT CORP,3662,332912,3728,CW,Aero,curtisswright.com,2
DST SYSTEMS INC,3707,518210,7374,DST,BusSv,dstsystems.com,3
WENDY'S CO,3708,722511,5812,WEN,Meals,wendys.com,1
DANA INC,3734,336390,3714,DAN,Autos,dana.com,1
DANAHER CORP,3735,334516,3826,DHR,LabEq,danaher.com,3
DATA I/O CORP,3761,334515,3825,DAIO,LabEq,dataio.com,3
DATARAM CORP - OLD,3785,334112,3572,DRAM.1,Comps,dataram.com,3
DAWSON GEOPHYSICAL CO,3806,213112,1382,DWSN,Oil,dawson3d.com,2
TARGET CORP,3813,452990,5331,TGT,Rtail,target.com,1
DEERE & CO,3835,333111,3523,DE,Mach,deere.com,2
DELTA AIR LINES INC,3851,481111,4512,DAL,Trans,delta.com,5
DELTA NATURAL GAS CO INC,3855,221210,4923,DGAS,Util,deltagas.com,2
DELUXE CORP,3863,3231,2780,DLX,Books,deluxe.com,1
DTE ENERGY CO,3897,2211,4931,DTE,Util,dteenergy.com,2
ALLIANCE ONE INTL INC,3937,424940,5190,AOI,Whlsl,aointl.com,1
DIEBOLD NIXDORF INC,3946,334118,3578,DBD,Comps,dieboldnixdorf.com,3
NORTECH SYSTEMS INC,3962,334418,3679,NSYS,Chips,nortechsys.com,3
DILLARDS INC  -CL A,3964,452111,5311,DDS,Rtail,dillards.com,1
DIODES INC,3969,334413,3674,DIOD,Chips,diodes.com,3
DISNEY (WALT) CO,3980,515120,4888,DIS,Telcm,thewaltdisneycompany.com,3
DIXIE GROUP INC,4001,314110,2273,DXYN,Txtls,thedixiegroup.com,1
DOLLAR GENERAL CORP,4016,452990,5331,DG,Rtail,dollargeneral.com,1
DOMINION ENERGY INC,4029,22111,4911,D,Util,dominionenergy.com,2
DONALDSON CO INC,4036,336390,3714,DCI,Autos,donaldson.com,1
DONNELLEY (R R) & SONS CO,4040,32311,2750,RRD,BusSv,rrdonnelley.com,2
DORCHESTER MINERALS  -LP,4045,533110,6792,DMLP,Fin,dmlp.net,5
DOVER CORP,4058,333415,3585,DOV,Mach,dovercorporation.com,2
OMNICOM GROUP,4066,541810,7311,OMC,BusSv,omnicomgroup.com,5
ASCENA RETAIL GROUP INC,4072,448120,5621,ASNA,Rtail,ascenaretail.com,1
DU PONT (E I) DE NEMOURS,4087,3252,2820,DD,Chems,dupont.com,2
DUCOMMUN INC,4091,336413,3728,DCO,Aero,ducommun.com,2
DUKE ENERGY CORP,4093,2211,4931,DUK,Util,duke-energy.com,2
DUN & BRADSTREET CORP,4094,561450,7323,DNB,BusSv,dnb.com,5
FLOWSERVE CORP,4108,333911,3561,FLS,Mach,flowserve.com,2
DYCOM INDUSTRIES INC,4115,237130,1623,DY,Cnstr,dycomind.com,5
DYNATRONICS CORP,4124,334510,3845,DYNT,MedEq,dynatronics.com,4
DYNASIL CORP OF AMERICA,4130,333314,3827,DYSL,LabEq,dynasil.com,3
PERKINELMER INC,4145,334516,3826,PKI,LabEq,perkinelmer.com,3
SUPREME INDUSTRIES INC,4156,336211,3713,STS,Autos,mohawkind.com,2
EASTERN CO,4186,332510,3420,EML,BldMt,easterncompany.com,2
EASTGROUP PROPERTIES,4193,531120,6798,EGP,Fin,eastgroup.net,5
EASTMAN KODAK CO,4194,333316,3577,KODK,Comps,kodak.com,3
